ix,Id,danho,ciclo,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final,id_anony
135020,503,2017,1,13008,CALCULO 2,ELE-PLS13 ,2,1,2017,1,N,0,7,0,0,0,0,,es_1444
135021,504,2017,1,13008,CALCULO 2,CGF-PLS13 ,2,1,2017,1,N,0,5,0,0,0,0,,es_4238
135022,505,2017,1,13008,CALCULO 2,ELE-PLS13 ,2,1,2017,1,S,2016,0,0,0,0,0,"1F-1,2F-2",es_4245
135023,506,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,N,0,0,0,0,0,0,,es_4967
135024,507,2017,1,13008,CALCULO 2,CGF-PLS13 ,2,1,2017,1,S,2017,21,10,0,0,0,3F-C-3,es_414
135025,508,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,N,0,0,0,0,0,0,,es_4968
135026,509,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,N,0,7,0,0,0,0,,es_4555
135027,510,2017,1,13008,CALCULO 2,ELE-PLS13 ,2,1,2017,1,N,0,19,0,0,0,0,,es_4556
135028,511,2017,1,13008,CALCULO 2,ELE-PLS13 ,2,1,2017,1,N,0,0,0,0,0,0,,es_4970
135029,512,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,S,2017,0,20,0,0,0,"2F-C-1,3F-C-3",es_4971
135030,513,2017,1,13008,CALCULO 2,ELE-PLS13 ,2,1,2017,1,S,2016,13,16,0,0,0,1F-C-3,es_4972
135031,514,2017,1,13008,CALCULO 2,ELE-PLS13 ,2,1,2017,1,S,2017,23,18,0,0,0,1F-C-4,es_4973
135032,515,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,N,2016,0,0,0,0,0,,es_4275
135033,516,2017,1,13008,CALCULO 2,MCT-PLS13 ,2,1,2017,1,S,2017,18,17,0,0,0,1F-C-4,es_4978
135034,517,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,N,0,0,0,0,0,0,,es_4285
135035,518,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,N,0,16,2,0,0,0,,es_4290
135036,519,2017,1,13008,CALCULO 2,ELE-PLS13 ,2,1,2017,1,N,2017,16,11,0,0,0,3F-C-1,es_4583
135037,520,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,N,2016,0,0,0,0,0,,es_4299
135038,521,2017,1,13008,CALCULO 2,ELE-PLS13 ,2,1,2017,1,S,2016,19,14,0,0,0,1F-C-4,es_4984
135039,522,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,S,2017,20,17,0,0,0,2F-C-2,es_4986
135040,523,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,N,0,17,8,0,0,0,,es_4608
135041,524,2017,1,13008,CALCULO 2,CGF-PLS13 ,2,1,2017,1,N,0,0,0,0,0,0,,es_3298
135042,525,2017,1,13008,CALCULO 2,ELE-PLS13 ,2,1,2017,1,S,2016,20,11,0,0,0,1F-C-3,es_4992
135043,526,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,S,2017,20,16,0,0,0,2F-C-2,es_4999
135044,527,2017,1,13008,CALCULO 2,MCT-PLS13 ,2,1,2017,1,S,2017,21,27,0,0,0,1F-C-5,es_5702
135045,528,2017,1,13008,CALCULO 2,ELE-PLS13 ,2,1,2017,1,S,2016,0,0,0,0,0,1F-2,es_4623
135046,529,2017,1,13008,CALCULO 2,ELE-PLS13 ,2,1,2017,1,S,2017,17,4,0,0,0,2F-C-2,es_5004
135047,530,2017,1,13008,CALCULO 2,ELE-PLS13 ,2,1,2017,1,S,2017,16,16,0,0,0,"2F-C-1,3F-C-3",es_5006
135048,531,2017,1,13008,CALCULO 2,MCT-PLS13 ,2,1,2017,1,S,2017,17,10,0,0,0,"2F-C-1,3F-C-2",es_5010
135049,532,2017,1,13008,CALCULO 2,ELE-PLS13 ,2,1,2017,1,S,2016,0,0,0,0,0,2F-2,es_5015
135050,533,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,S,2016,15,20,0,0,0,1F-C-4,es_5016
135051,534,2017,1,13008,CALCULO 2,ELE-PLS13 ,2,1,2017,1,N,0,22,0,0,0,0,,es_5017
135052,535,2017,1,13008,CALCULO 2,ECA-PLS13 ,2,1,2017,1,S,2017,19,10,0,0,0,2F-C-5,es_5713
135053,536,2017,1,13008,CALCULO 2,ELE-PLS13 ,2,1,2017,1,S,2017,16,11,0,0,0,"2F-C-1,3F-C-2",es_5020
135054,537,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,S,2016,0,0,0,0,0,2F-2,es_5026
135055,538,2017,1,13008,CALCULO 2,ELE-PLS13 ,2,1,2017,1,N,2017,5,29,0,0,0,"1F-C-1,3F-C-1",es_5030
135056,539,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,N,2017,21,8,0,0,0,"2F-C-1,3F-C-1",es_4655
135057,540,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,N,2016,15,0,0,0,0,,es_4657
135058,541,2017,1,13008,CALCULO 2,IND-PLS13 ,2,1,2017,1,N,2016,0,0,0,0,0,"1F-C-1,2F-C-1,3F-C-1",es_4070
135059,542,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,S,2016,0,0,0,0,0,2F-2,es_5049
135060,543,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,N,0,0,0,0,0,0,,es_4672
135061,544,2017,1,13008,CALCULO 2,ELE-PLS13 ,2,1,2017,1,N,2017,17,4,0,0,0,,es_5053
135062,545,2017,1,13008,CALCULO 2,MEC-PLS13 ,2,1,2017,1,N,2017,21,3,0,0,0,,es_5729
135063,546,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,S,2016,14,12,0,0,0,1F-C-2,es_5056
135064,547,2017,1,13008,CALCULO 2,CIV-PLS13 ,2,1,2017,1,N,0,13,10,0,0,0,,es_5057
