Anho,Ciclo,Idalumno,Cod.Car.Sec,Avandono,CantidadMaterias
2022,2,1,IND-PLS13 ,0,4
2022,2,29,ELE-PLS13 ,1,4
2016,2,40,MCT-PLS13 ,0,6
2017,2,49,CIV-PLS13 ,1,3
2019,1,50,MEC-PLS13 ,0,5
2019,2,50,MEC-PLS13 ,0,3
2020,1,50,ELE-PLS13 ,0,5
2021,1,50,MEC-PLS13 ,0,6
2021,2,50,MEC-PLS13 ,0,4
2022,1,50,MEC-PLS13 ,0,3
2022,2,50,MEC-PLS13 ,1,5
2019,1,53,ELE-PLS13 ,0,5
2019,2,53,ELE-PLS13 ,1,6
2020,1,53,ELE-PLS13 ,1,2
2021,1,53,ELE-PLS13 ,1,4
2021,2,53,ELE-PLS13 ,1,4
2022,1,53,ELE-PLS13 ,0,3
2022,2,53,ELE-PLS13 ,1,7
2017,2,55,CGF-PLS13 ,1,8
2018,1,55,CGF-PLS13 ,1,7
2018,2,55,CGF-PLS13 ,0,6
2018,2,63,ELE-PLS13 ,0,2
2019,1,63,ELE-PLS13 ,0,2
2019,2,63,ELE-PLS13 ,0,3
2019,1,73,CIV-PLS13 ,1,6
2021,2,73,CIV-PLS13 ,1,7
2017,2,79,CIV-PLS13 ,1,2
2018,1,79,CIV-PLS13 ,0,7
2018,2,79,CIV-PLS13 ,0,6
2019,1,79,CIV-PLS13 ,0,5
2019,2,79,CIV-PLS13 ,0,4
2020,1,79,CIV-PLS13 ,0,6
2021,1,79,CIV-PLS13 ,0,5
2021,2,79,CIV-PLS13 ,1,8
2016,2,113,CIV-PLS13 ,1,5
2017,2,113,CIV-PLS13 ,1,6
2018,2,113,CIV-PLS13 ,1,4
2019,1,113,CIV-PLS13 ,1,5
2016,2,184,ELE-PLS13 ,0,1
2017,2,184,ELE-PLS13 ,0,1
2018,1,184,ELE-PLS13 ,0,3
2018,2,184,ELE-PLS13 ,0,3
2019,1,184,ELE-PLS13 ,0,3
2019,2,184,ELE-PLS13 ,0,1
2020,1,184,ELE-PLS13 ,0,2
2021,2,184,ELE-PLS13 ,1,2
2022,2,184,ELE-PLS13 ,0,1
2016,2,186,ECA-PLS13 ,0,5
2017,2,186,ECA-PLS13 ,0,4
2021,1,191,CGF-PLS13 ,0,8
2021,2,191,CGF-PLS13 ,0,8
2022,1,191,CGF-PLS13 ,0,6
2019,2,196,CIV-PLS13 ,1,6
2016,2,207,CIV-PLS13 ,0,5
2017,2,207,CIV-PLS13 ,0,3
2016,2,208,CIV-PLS13 ,0,5
2016,2,211,ELE-PLS13 ,0,6
2017,2,211,ELE-PLS13 ,0,9
2021,2,235,CIV-PLS13 ,1,5
2022,2,266,CGF-PLS13 ,1,4
2016,2,289,ELE-PLS13 ,1,6
2018,2,289,ELE-PLS13 ,1,5
2019,1,289,ELE-PLS13 ,1,5
2019,2,289,ELE-PLS13 ,0,6
2020,1,289,ELE-PLS13 ,1,5
2021,1,289,ELE-PLS13 ,0,8
2021,2,289,ELE-PLS13 ,1,5
2018,2,299,MEC-PLS13 ,0,7
2019,1,299,MEC-PLS13 ,0,7
2019,2,299,MEC-PLS13 ,0,6
2020,1,299,MEC-PLS13 ,0,6
2021,1,299,MEC-PLS13 ,0,8
2021,2,299,MEC-PLS13 ,0,7
2021,1,302,CIV-PLS13 ,0,5
2021,2,302,CIV-PLS13 ,1,7
2022,1,302,CGF-PLS13 ,0,6
2022,2,302,CGF-PLS13 ,1,4
2016,2,310,CGF-PLS13 ,0,8
2017,2,310,CGF-PLS13 ,0,4
2018,1,310,CGF-PLS13 ,0,5
2018,2,310,CGF-PLS13 ,0,5
2019,1,310,CGF-PLS13 ,0,2
2016,2,314,CGF-PLS13 ,0,10
2016,2,321,ECA-PLS13 ,0,6
2018,1,354,CGF-PLS13 ,1,5
2018,2,354,CGF-PLS13 ,1,8
2019,1,354,CGF-PLS13 ,0,6
2019,2,354,CGF-PLS13 ,0,8
2019,1,358,ELE-PLS13 ,1,4
2020,1,358,ELE-PLS13 ,1,4
2019,2,372,ELE-PLS13 ,0,6
2016,2,374,CIV-PLS13 ,1,5
2017,2,374,CIV-PLS13 ,1,7
2021,2,374,CGF-PLS13 ,1,4
2022,1,374,CGF-PLS13 ,1,8
2016,2,378,MCT-PLS13 ,0,4
2021,2,380,CGF-PLS13 ,1,7
2022,2,380,CGF-PLS13 ,0,6
2016,2,381,IND-PLS13 ,0,4
2017,2,381,IND-PLS13 ,0,4
2018,1,381,IND-PLS13 ,1,4
2019,1,381,IND-PLS13 ,0,4
2019,2,381,IND-PLS13 ,0,5
2020,1,381,IND-PLS13 ,0,5
2021,1,381,IND-PLS13 ,0,4
2021,2,381,IND-PLS13 ,0,4
2022,2,403,CGF-PLS13 ,1,7
2016,2,404,ELE-PLS13 ,0,4
2021,1,414,CGF-PLS13 ,1,8
2022,2,414,CGF-PLS13 ,1,4
2017,2,418,ELE-PLS13 ,0,5
2019,1,424,ECA-PLS13 ,1,8
2020,1,424,ECA-PLS13 ,1,6
2021,1,424,ECA-PLS13 ,1,7
2021,2,424,ECA-PLS13 ,1,4
2019,2,440,CIV-PLS13 ,0,5
2020,1,440,CIV-PLS13 ,0,5
2016,2,444,CIV-PLS13 ,0,5
2016,2,447,ELE-PLS13 ,0,6
2020,1,448,CIV-PLS13 ,0,4
2021,1,448,CIV-PLS13 ,0,5
2017,2,457,ELE-PLS13 ,1,4
2018,1,457,ELE-PLS13 ,1,4
2018,2,457,ELE-PLS13 ,0,6
